Roll, Pitch
90.189812, 90.234833
90.189919, 90.275291
90.157829, 90.216385
90.157875, 90.290276
90.125328, 90.257721
90.125259, 90.220695
90.264023, 90.225029
90.218628, 90.371124
90.270592, 90.201462
90.135078, 90.324524
90.186882, 90.225311
90.196198, 90.187386
90.196701, 90.255333
90.273834, 90.191277
90.273743, 90.328934
90.154602, 90.317184
90.199570, 90.200928
90.174065, 90.366783
90.051666, 90.271317
90.293045, 90.250740
90.128304, 90.287567
90.093338, 90.329750
90.183678, 90.255684
90.193283, 90.302185
90.103020, 90.087639
90.196716, 82.920670
90.185692, 86.794052
89.070389, 98.208305
91.508118, 93.681435
89.777061, 90.232025
90.273567, 90.328659
90.118713, 90.351845
90.115639, 90.254753
90.064537, 90.193626
89.270355, 90.200584
91.978783, 90.207741
90.020866, 90.845222
90.054245, 90.337784
90.054642, 90.045975
90.052864, 90.783722
90.054169, 90.558998
90.022842, 89.977386
90.229523, 90.006767
89.237450, 89.015274
88.877846, 91.487457
88.875755, 93.864151
88.856178, 92.812454
89.671700, 91.076721
89.893158, 89.839531
90.859001, 90.018730
89.687225, 90.929535
90.261711, 90.868896
89.635658, 90.609940
89.634682, 90.116882
90.587196, 89.239868
90.963654, 90.713860
90.277786, 90.822586
91.262787, 91.995453
89.688171, 93.701744
90.406540, 91.236923
90.401924, 93.422302
87.959137, 91.395020
86.529175, 91.696556
89.483330, 90.509941
91.102707, 91.348549
91.159348, 92.415848
92.675522, 92.619110
92.246933, 90.732498
92.284554, 89.748596
92.325661, 90.706383
89.102341, 91.882164
89.449867, 92.845276
89.401016, 92.064934
89.396965, 89.996521
89.419495, 90.631683
89.446640, 90.064102
87.747414, 89.108986
87.795578, 89.552582
85.272026, 90.720680
85.137360, 89.384483
86.917442, 87.469818
86.332253, 87.964844
86.397598, 88.594215
86.459167, 88.798805
86.482811, 91.600845
84.031944, 90.034576
83.215736, 90.162880
84.152451, 90.218315
84.585190, 91.355438
89.505348, 90.407227
89.090111, 90.735458
86.668961, 89.163040
86.656479, 88.818848
83.578568, 87.999947
83.167885, 88.553909
83.066025, 89.432434
82.189140, 89.196205
81.675095, 89.152481
82.339737, 90.315491
82.032310, 89.941895
82.215134, 91.051659
82.166161, 90.082314
83.995529, 87.453140
83.955215, 87.436874
84.001923, 88.761955
82.518585, 89.606697
83.185928, 89.999519
83.180428, 88.723587
81.523201, 88.746353
80.315018, 89.862190
79.220032, 90.267433
80.294968, 90.169937
81.738304, 89.536682
81.159866, 88.643181
81.263336, 89.031578
81.365883, 90.478195
81.402077, 90.379967
78.837982, 89.400322
76.932625, 88.995422
77.347824, 88.613449
75.909698, 88.222473
75.563660, 87.411316
77.115372, 88.286736
77.828438, 89.146263
78.490486, 89.263977
78.394272, 89.846588
81.995132, 89.048691
80.462692, 88.662567
77.554535, 88.542641
75.439354, 87.806984
74.070358, 87.870918
72.472633, 89.042511
74.229065, 90.044319
77.369865, 88.317184
77.191200, 87.982147
76.943367, 88.004066
76.925346, 88.538063
76.520096, 88.958694
76.203362, 90.032562
75.831841, 89.559227
75.226677, 89.017532
74.231140, 88.546463
73.430832, 88.670799
72.588936, 88.972122
71.805641, 88.729660
72.353172, 88.771202
74.862358, 88.009300
75.386108, 88.324463
75.789726, 88.938736
75.717461, 88.589073
72.561226, 88.171738
72.603180, 88.257324
71.830864, 88.618507
71.585365, 88.702377
72.591164, 88.522308
72.983208, 89.338692
73.996681, 89.302307
73.393417, 89.461990
73.274803, 88.879059
73.288002, 88.364601
73.824051, 88.899162
73.578308, 88.974945
73.037079, 87.721230
71.995712, 87.356155
71.327980, 88.181557
71.633163, 88.344078
71.544189, 88.541779
71.468018, 88.408875
71.659874, 88.127037
72.354446, 87.792801
71.946060, 87.172897
70.129120, 87.299004
70.347755, 88.434830
69.569092, 88.257889
68.976341, 87.865494
69.520889, 87.879379
68.609695, 87.869484
69.174103, 87.973106
67.913300, 89.245247
67.986839, 88.614937
68.728775, 87.863144
68.265190, 88.011948
68.683067, 88.177902
68.619865, 88.417274
68.110397, 88.734772
67.649544, 88.173721
68.433853, 87.901741
68.437691, 87.933563
68.111618, 89.384209
68.321419, 88.943825
66.855728, 89.177071
67.764885, 89.136879
68.958893, 89.082306
67.870567, 89.155502
67.556236, 89.205238
65.491814, 88.442421
63.605068, 87.819992
64.274712, 88.053688
64.262604, 88.767693
65.546257, 88.844650
66.329918, 88.688744
66.497490, 88.957413
66.467491, 89.379509
